,Zip Code,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Churn,CLTV,Gender_Female,Gender_Male,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Multiple Lines_No,Multiple Lines_No phone service,Multiple Lines_Yes,Online Security_No,Online Security_No internet service,Online Security_Yes,Online Backup_No,Online Backup_No internet service,Online Backup_Yes,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Streaming TV_No,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_No internet service,Streaming Movies_Yes
13,90042,0,0,1,-0.8701791637268682,1,1,1.0996429295038772,1,1.076621060316375,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
14,90056,0,0,1,-1.2366364187289942,1,1,0.5280253463154813,1,1.0022375025526908,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
15,90061,0,0,1,-0.7073092726148122,1,1,1.1411849050262897,1,-1.2123638763206352,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
16,90063,1,1,1,-0.9923315820609102,1,1,0.5280253463154813,1,0.7621814752244371,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
17,90065,1,0,1,-0.5851568542807702,1,1,1.0198823365008454,1,-1.032321855824445,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
18,90211,0,0,1,-0.9516141092828962,1,0,0.984987077062019,1,0.9895584870247901,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
19,90255,0,0,1,-1.2773538915070082,1,1,0.4848216917721718,1,-1.6206281763190384,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
20,90262,0,1,1,-1.0330490548389242,1,1,0.3452406540168661,1,-0.7973374347073515,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
21,90292,0,0,1,-0.8294616909488542,1,1,0.4715282596050001,1,1.1881963969619014,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
22,90301,0,0,0,-1.114484000394952,1,0,-1.4526960465931482,1,-1.5183507843939725,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
23,90303,1,1,1,-0.3001345448346723,1,1,1.121244756775532,1,0.7917658447895388,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
24,90403,0,1,0,1.4507167846199296,1,1,1.5034309315817271,1,0.5356497311259443,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
25,90504,0,1,1,0.9213896385057476,1,1,1.0630859910441544,1,0.6370818553491501,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
26,90602,1,1,1,0.1884751285014957,1,1,0.39010598758107146,1,-1.3585951887424235,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
27,90606,0,1,1,-0.9108966365048822,1,1,1.1794035225069095,1,1.3504877957190307,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
28,90631,0,0,1,-1.1959189459509803,1,1,0.3203154687034186,1,0.01242902367457451,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
29,90660,1,0,1,-0.21869959927864427,1,1,0.4416180372288629,1,0.20092372118936522,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
30,90704,0,1,0,-0.3001345448346723,0,1,-0.20477510189987586,1,-0.17775620924393631,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
31,90710,0,0,0,-1.2773538915070082,0,1,-0.9741324885749557,1,-1.774466898057567,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
32,90712,0,0,0,-1.2366364187289942,1,0,-0.6783536228553786,1,-1.5470898862572142,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
33,90720,1,1,1,-1.2773538915070082,1,1,0.18904282605259493,1,-0.36878670986430717,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
34,90731,0,0,0,-0.9923315820609102,1,0,0.21230633234514604,1,-1.4693252576860898,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
35,90745,0,0,0,-1.2773538915070082,1,1,-0.6351499683120697,1,-1.5217318552014127,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
36,90804,0,0,1,-1.0330490548389242,1,0,1.0049272253127768,1,-1.364512062655444,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
37,91001,0,1,1,-0.5037219087247422,1,0,0.5861841120468587,1,1.1146581069000772,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
38,91016,0,0,1,-1.1552014731729663,1,1,0.20399793724066353,1,-0.09576524216351165,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
39,91024,1,1,0,1.0435420568397897,0,1,-0.6467817214583452,1,0.882209488888564,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
40,91042,0,1,1,-1.2366364187289942,1,1,1.3173228812413191,1,0.24487764168608772,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
41,91103,0,1,0,0.8399546929497197,1,1,0.9999421882500872,1,-0.06110926638724967,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
42,91106,1,0,1,-0.7073092726148122,1,1,0.321977147724315,1,1.1129675714963572,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
43,91107,1,0,1,-1.0330490548389242,1,0,0.38844430856017503,1,0.015810094482014703,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
44,91202,0,0,0,-1.2773538915070082,0,0,-1.156917180873571,1,0.11301588019592024,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
45,91204,0,0,1,-0.9923315820609102,1,0,0.6559746309245116,1,-1.9004117856347142,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
46,91206,0,0,1,-0.7887442181708402,1,1,0.48149833373037904,1,0.6269386429268294,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
47,91207,0,1,0,-1.2773538915070082,0,1,-1.3280701200259106,1,0.38096574168555547,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
48,91304,0,1,1,-1.0737665276169381,1,1,0.8719929036410567,1,-1.789681716691048,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
49,91345,0,0,1,-1.2773538915070082,1,0,0.5031001610020337,1,-0.8505892999245346,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
50,91350,0,0,1,-0.5444393815027563,1,1,1.3904367581607648,1,-0.5378402502363168,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
51,91352,0,0,0,-1.2366364187289942,1,1,-0.6235182151657942,1,-1.4650989191767896,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
52,91381,0,0,1,-1.1552014731729663,1,1,0.17907275192721603,1,-1.8370167079952107,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
53,91402,0,1,0,-1.1552014731729663,1,0,-0.4889222144731777,1,-0.8505892999245346,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
54,91411,0,1,0,-1.2773538915070082,1,0,-0.3177692753208379,1,-0.6443439806706829,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
55,91504,0,0,1,-1.2773538915070082,1,1,0.6592979889663044,1,-1.6197829086171782,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
56,91601,0,0,0,-1.2366364187289942,1,1,-0.344356139655182,1,-1.5589236340832548,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
57,91605,1,0,1,-0.8701791637268682,1,1,1.0049272253127768,1,1.3352729770855498,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
58,91722,1,0,0,-0.7073092726148122,1,1,0.3203154687034186,1,0.18232783174844416,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
59,91723,0,0,0,-1.2773538915070082,1,1,-0.5387725851000726,1,1.0876095404405557,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
60,91731,0,1,0,-1.2366364187289942,1,0,0.18738114703169853,1,1.0876095404405557,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
61,91732,1,1,0,-1.2773538915070082,0,0,-0.8162729815897881,1,1.2067922864028224,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
62,91744,0,1,0,-1.2366364187289942,1,1,-0.6700452277508961,1,0.40885957584693705,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
63,91746,1,0,0,-1.1959189459509803,0,1,-0.7847010801927548,1,-1.7634784179333864,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
64,91748,1,0,0,-0.7887442181708402,1,1,1.4004068322861443,1,-1.6113302315985778,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
65,91762,0,0,0,1.0842595296178037,1,0,-1.509193133303629,1,0.5779131162189467,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
66,91764,1,0,0,-0.6665917998367983,1,1,0.9866487560829155,1,-0.49895793595075455,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
67,91766,0,0,0,-1.2773538915070082,0,0,-1.3280701200259106,1,0.5804489193245268,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
68,91768,0,0,0,-1.2773538915070082,1,0,0.19402786311528417,1,-0.8979242912286972,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
69,91770,0,1,0,-1.114484000394952,1,1,0.6858848533006489,1,-0.612223808000001,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
70,91773,0,1,0,0.7992372201717056,1,1,1.3389247085129734,1,0.3708225292632349,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
71,91791,0,1,0,-0.5851568542807702,1,0,1.0099122623754666,1,0.20515005969866548,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
72,91803,0,1,0,-1.2773538915070082,1,0,0.17408771486452634,1,-0.2589019086225009,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
73,91901,1,0,0,-0.9923315820609102,1,1,0.32363882674521144,1,-0.046739715455628855,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
74,91902,0,0,0,-0.9108966365048822,1,1,-0.6617368326464136,1,-0.2867957427838825,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
75,91905,1,0,0,-0.34085201761268624,1,1,0.37681255541389924,1,-2.0136776576839606,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
76,91931,0,0,0,-1.2773538915070082,1,1,0.2937286043690742,1,-1.5513162247665144,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
77,91934,1,0,0,-1.1552014731729663,1,1,1.0198823365008454,1,-0.611378540298141,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
78,91948,1,1,0,-0.015112235388574289,1,1,0.3369322589123836,1,-0.2496039639020404,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
79,92004,0,0,0,-1.114484000394952,1,1,0.5263636672945844,1,1.111277036092637,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
80,92009,0,1,0,0.2291926012795097,1,0,0.5163935931692054,1,-1.9688784694853783,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
81,92014,1,1,0,-0.34085201761268624,1,1,0.9434451015396065,1,-1.8496957235231113,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
82,92020,1,0,0,0.8806721657277337,1,0,0.5878457910677551,1,-0.21241218502019826,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
83,92029,1,0,0,-1.2366364187289942,1,1,0.18571946801080166,1,-1.4617178483693494,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
84,92057,0,0,0,-1.0330490548389242,1,1,0.3020369994735567,1,-1.6290808533376389,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
85,92059,0,0,0,-1.2366364187289942,1,0,0.5263636672945844,1,-1.4515746359470287,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
86,92060,0,1,0,1.4507167846199296,1,1,0.3668424812885204,1,0.42491966218227795,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
87,92061,0,0,0,0.4327799651695797,1,1,1.3239695973249048,1,0.7182275547277146,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
88,92066,0,1,0,1.2471294207298596,1,1,1.2840893008233891,1,-0.04082284154260852,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
89,92082,0,0,0,-1.2366364187289942,1,1,0.8520527553902989,1,-0.2056500434053179,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
90,92103,0,1,0,-1.1552014731729663,1,1,0.6659447050498906,1,0.4553492994492397,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
91,92104,1,0,0,-0.46300443594672824,0,1,-0.7597758948793073,1,0.31926119944977194,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
92,92105,0,0,0,-0.9108966365048822,1,1,0.514731914148309,1,-0.6781546887450848,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
93,92108,1,1,0,-0.21869959927864427,0,0,-1.1303303165392269,1,-1.245329316693177,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
94,92116,0,0,0,-1.114484000394952,1,0,1.054777595939672,1,0.830648159075101,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
95,92122,0,0,0,-1.2366364187289942,1,1,0.6941932484051313,1,-0.4414797322242713,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
96,92129,0,1,0,-0.3001345448346723,1,1,1.3356013504711806,1,-0.6409629098632427,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
97,92154,0,0,0,-1.2773538915070082,1,0,-0.4689820662224196,1,-1.664582096815761,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
98,92201,0,0,0,-1.2773538915070082,1,1,0.867007866578367,1,-0.8252312688687331,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
99,92210,1,1,0,-0.8701791637268682,1,0,-1.489252985052871,1,1.2575083485144254,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
100,92211,1,1,0,0.9213896385057476,1,1,0.6875465323215453,1,0.9312350155964467,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
101,92240,0,0,0,0.06632271016745371,1,1,0.30536035751535,1,1.1788984522414407,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
102,92250,0,1,0,1.4914342573979436,1,1,1.1528166581725656,1,-0.3214517185601445,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
103,92257,0,0,0,-1.2773538915070082,1,1,-1.4909146640737678,1,-0.8869358111045167,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
104,92258,0,0,0,-1.2773538915070082,1,1,-1.5008847381991466,1,-0.8049448440240919,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
105,92259,1,0,0,-1.1959189459509803,1,1,0.5512888526080318,1,-1.3374634961959222,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
106,92273,0,1,0,-0.4222869631687143,1,0,0.6160943344229955,1,-0.5040295421619149,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
107,92274,1,0,0,-1.2773538915070082,1,1,0.35022569107955537,1,0.42407439448041795,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
108,92301,0,1,0,1.1656944751738316,1,1,-1.5075314542827327,1,-0.1515529104862748,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
109,92307,0,0,0,-0.8294616909488542,1,1,-0.6434583634165522,1,-1.279140024767579,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
110,92325,0,0,0,1.1249770023958177,1,1,1.3671732518682143,1,-0.2496039639020404,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
111,92327,0,0,0,-1.2773538915070082,1,0,0.15913260367645773,1,-1.3594404564442835,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
112,92338,0,1,0,-0.17798212650063028,1,1,0.541318778482653,1,0.6768094373365723,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
113,92356,0,1,0,-1.1552014731729663,1,0,1.2093137448830467,1,0.014119559078294607,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
114,92358,0,0,0,-1.0330490548389242,1,1,1.164448411318841,1,-2.00268917755978,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
115,92371,0,1,0,-0.7887442181708402,1,0,-0.29284409000739037,1,0.0825862429289585,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
116,92373,0,0,0,-1.2773538915070082,1,1,-0.32441599140442395,1,0.40294270193391674,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
117,92377,0,1,0,-1.2773538915070082,1,1,0.3302855428287975,1,1.3352729770855498,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
